postcode,suburb
5116,EVANSTON
5116,EVANSTON GARDENS
5116,EVANSTON PARK
5116,EVANSTON SOUTH
5118,GAWLER EAST
5127,WYNN VALE
5116,HILLIER
5118,WILLASTON
5120,BUCKLAND PARK
5558,PARAMATTA
5117,ANGLE VALE
5120,RIVERLEA PARK
5118,BIBARINGA
5118,GAWLER RIVER
5118,BUCHFELDE
5118,KINGSFORD
5118,CONCORDIA
5118,REID
5118,WARD BELT
5126,SURREY DOWNS
5118,GAWLER
5118,GAWLER BELT
5126,YATALA VALE
5169,SEAFORD RISE
5118,GAWLER SOUTH
5118,GAWLER WEST
5118,HEWETT
5118,KALBEEBA
5118,KANGAROO FLAT
5131,HOUGHTON
5120,VIRGINIA
5121,EYRE
5121,MACDONALD PARK
5121,PENFIELD
5121,PENFIELD GARDENS
5125,GOLDEN GROVE
5125,GREENWITH
5126,FAIRVIEW PARK
5734,MACUMBA
5131,LOWER HERMITAGE
5131,UPPER HERMITAGE
5133,INGLEWOOD
5734,MOUNT SARAH
5132,PARACOMBE
5134,CHERRYVILLE
5134,MONTACUTE
5136,NORTON SUMMIT
5137,ASHTON
5251,MOUNT BARKER JUNCTION
5137,MARBLE HILL
5138,BASKET RANGE
5139,FOREST RANGE
5140,GREENHILL
5141,HORSNELL GULLY
5141,SUMMERTOWN
5734,OODNADATTA
5142,URAIDLA
5144,CAREY GULLY
5150,LEAWOOD GARDENS
5151,PICCADILLY
5152,CLELAND
5152,CRAFERS
5152,CRAFERS WEST
5152,STIRLING
5153,BIGGS FLAT
5153,BRADBURY
5153,CHAPEL HILL
5153,ECHUNGA
5153,FLAXLEY
5153,GREEN HILLS RANGE
5153,HEATHFIELD
5153,IRONBANK
5153,JUPITER CREEK
5153,LONGWOOD
5250,TOTNESS
5153,MACCLESFIELD
5153,MYLOR
5153,SCOTT CREEK
5172,WILLUNGA
5154,ALDGATE
5155,BRIDGEWATER
5155,MOUNT GEORGE
5156,UPPER STURT
5158,TROTT PARK
5310,CALIPH
5157,ASHBOURNE
5157,BULL CREEK
5157,CHERRY GARDENS
5157,CLARENDON
5157,COROMANDEL EAST
5311,VEITCH
5157,DORSET VALE
5157,KANGARILLA
5157,MCHARG CREEK
5158,SHEIDOW PARK
5158,HALLETT COVE
5158,O'HALLORAN HILL
5159,ABERFOYLE PARK
5159,CHANDLERS HILL
5159,FLAGSTAFF HILL
5159,HAPPY VALLEY
5162,WOODCROFT
5163,HACKHAM
5163,HACKHAM WEST
5160,LONSDALE
5161,OLD REYNELLA
5161,REYNELLA
5161,REYNELLA EAST
